gene_id,gene_name,freq_high_load,freq_other,participation
1016,yfhM,1.0,0.9869944771067165,53.99568900784448
1021,yfdV,0.9973670352817272,0.9796900053447354,54.96945198014416
10220,,0.01158504476040021,0.002672367717797969,3.6886824792863084
10338,fumC_2,0.0026329647182727752,0.0003563156957063959,1.263460231387391
1040,ynaI,0.9989468141126909,0.9880634241938357,53.98960678192675
10448,recD_2,0.008952080042127435,0.13201496525921966,11.266795708531134
10539,,0.028962611901000527,0.00017815784785319794,1.2954128272558747
10540,ptxA,0.028962611901000527,0.00017815784785319794,1.2954128272558747
1088,yoaB,0.9973670352817272,0.978442900409763,54.9883092478881
10907,,0.004739336492890996,0.010867628719045074,1.1982208057180088
1091,ansP,0.9989468141126909,0.9565294851238197,51.97802221784365
10926,dcuD_2,0.0026329647182727752,0.0003563156957063959,1.263460231387391
11226,,0.00631911532385466,0.007838945305540709,7.175425054746239
1123,topB,0.9994734070563455,0.9839657936932121,54.98035807364697
1144,bdm,0.9989468141126909,0.9754142169962586,52.94017728376369
1147,osmC,0.9973670352817272,0.979333689649029,54.973962957567004
1148,ynfC,0.9978936282253817,0.9896668448245145,53.976640726827746
1149,ydcS,0.9989468141126909,0.9853910564760378,53.9900929283384
116,rsxA,0.9994734070563455,0.9866381614110101,54.99406417112474
1161,phoQ,0.9989468141126909,0.4159985747372172,50.98929232440411
1163,csgD,0.9989468141126909,0.9773739533226439,53.97411877557967
1167,pgrR,0.9994734070563455,0.9552823801888474,48.99654546388385
1180,ftnA,0.9984202211690363,0.983787635845359,54.97336399743386
1193,oppC,0.9989468141126909,0.9871726349545697,54.988277728689944
1195,dhaM,1.0,0.8663816141101015,52.95351605799992
1222,rapA,0.9994734070563455,0.999109210760734,54.99804284007243
1239,sdaC,1.0,0.9996436843042936,54.999903718258224
1252,dcp,0.95260663507109,0.9727418492784607,51.99305938385886
1268,apbC,0.9994734070563455,0.9983965793693212,54.99242705823565
1273,yehE,0.9973670352817272,0.4058435774095849,49.928623532050004
1275,yegR,0.9989468141126909,0.99554605380367,54.99577163897178
1287,nifJ,0.9994734070563455,0.9716729021913415,54.954832203471746
1292,lrhA,1.0,0.9992873686085872,54.99914456045783
1297,dgcP,0.989468141126909,0.9723855335827544,53.69206401862187
1330,dtpA,0.9984202211690363,0.9905576340637805,54.993421523208696
1331,hybO,0.9978936282253817,0.99554605380367,54.99770957851116
1332,ydjH,0.9994734070563455,0.8131124176019954,41.9848837993615
1359,ftsP,1.0,0.9985747372171744,54.99813502622315
1381,nadA,1.0,0.9994655264564404,55.0
1386,celF,0.9994734070563455,0.9812934259754142,52.9886598251666
1416,gadC,0.9984202211690363,0.9971494744343489,54.99109801734593
1420,ybhF,0.9994734070563455,0.9942989488686976,54.958756005713056
1433,ycaO,0.9984202211690363,0.9859255300195974,54.979278674544105
1440,ydjX,1.0,0.997327632282202,54.99885752946362
146,psuT,0.9989468141126909,0.9830750044539462,54.97975997483043
147,moeA,1.0,0.9814715838232674,54.95348408891877
1531,mobA,0.631911532385466,0.9925173703901656,54.114454401839424
1546,ydgI,1.0,0.996436843042936,54.99974278167273
1549,gndA,0.9984202211690363,0.9713165864956351,52.99514649625421
1566,artI,1.0,0.9942989488686976,54.99608645373252
1582,narU,0.9994734070563455,0.9843221093889186,53.96837430423995
1583,narK,1.0,0.9875289506502761,54.99465227660507
1613,astE,0.9994734070563455,0.9910921076073401,54.99195841863471
1618,chbR,0.9978936282253817,0.9732763228220203,51.97736495289409
162,ydbH,0.9994734070563455,0.9939426331729913,54.973648489073724
1620,xthA,1.0,0.9857473721717441,54.99374767241695
1635,ybhH,0.9994734070563455,0.978442900409763,52.342963906043835
1662,ydeE,0.9968404423380727,0.9706039551042224,53.93143359753759
1710,yciK,0.9973670352817272,0.987350792802423,54.9922711153339
1734,spy,0.9973670352817272,0.9773739533226439,54.97675919977049
1744,ydiB,1.0,0.9910921076073401,54.99595864384867
1754,brnQ,0.9994734070563455,0.9992873686085872,54.99950715361124
1766,folM,0.9994734070563455,0.9948334224122573,54.99726787100852
1769,ydgD,0.9989468141126909,0.9796900053447354,54.991017680602845
1781,hrpA,0.9984202211690363,0.9843221093889186,54.94422266916289
1804,hchA,0.9994734070563455,0.9798681631925886,54.7298487509779
1819,ychE,0.9994734070563455,0.9918047389987529,54.98740222985679
1840,galF,0.6234860452869931,0.9524318546231961,50.81315716330978
188,cbl,0.7488151658767772,0.8900766078745769,50.81685967880397
1923,btuC,0.9989468141126909,0.9962586851950829,54.99853584314357
1951,tdk,0.9989468141126909,0.99554605380367,54.99856945482328
1956,yciV,1.0,0.9937644753251381,54.99881597155663
1959,yobB,0.9989468141126909,0.9861036878674505,53.998654073412574
196,yeeN,0.9931542917324908,0.9392481738820595,54.85880369632819
1968,flgH,1.0,0.9989310529128808,54.99965095594121
1974,ydiF,0.9552395997893628,0.874042401567789,48.58785833998449
1984,helD,0.9994734070563455,0.9923392125423125,54.99085403978618
20,glpQ,1.0,0.998218421521468,54.998807518037076
2001,rseA,1.0,0.999109210760734,54.999999894455264
2028,ccmH,1.0,0.9959023694993765,54.99792917536954
2034,torY,1.0,0.9976839479779084,54.99074475744387
204,mnmG,1.0,0.9978621058257616,54.9999077892433
2065,recJ,1.0,0.9975057901300552,54.99990899866012
2088,hprR,0.9994734070563455,0.9935863174772849,54.97453304424372
2104,ycgN,0.9989468141126909,0.8806342419383574,45.997788453902224
2109,mglA,1.0,0.9948334224122573,54.997048646254434
2129,dksA,0.9978936282253817,0.9900231605202209,54.974853978004795
2150,znuA,0.9994734070563455,0.9894886869766614,54.988488292471075
